14252,81798175,81748156,81808176,8205
14958,81788174,81748157,81818179,8205
15218,81808174,81748155,81838178,8204
15041,81828173,81738155,81818174,8205
14433,81798174,81768153,81828178,8204
13436,81788172,81748156,81808177,8202
12107,81818171,81748157,81848177,8204
10532,81798174,81738155,81798179,8204
8792,81778174,81778153,81828178,8204
7018,81808173,81728157,81798177,8203
5332,81818175,81768157,81808176,8204
3810,81818173,81728155,81828177,8203
2573,81798173,81758155,81838176,8202
1678,81798173,81748154,81808175,8203
1197,81818170,81768156,81808178,8202
1149,81808173,81778156,81808179,8203
1542,81788173,81748157,81848178,8203
2358,81788175,81728156,81818178,8201
3544,81788174,81768156,81848179,8203
5011,81818172,81738154,81838177,8203
6690,81818174,81778156,81818177,8201
8437,81808173,81748152,81808176,8205
10193,81838175,81738154,81818177,8204
11804,81808176,81748154,81808179,8203
13198,81808171,81768155,81808176,8203
14261,81798174,81748155,81798176,8202
14956,81788172,81748154,81828176,8200
15219,81818175,81728155,81838178,8201
15042,81818174,81728155,81808179,8202
14440,81808172,81768155,81808179,8203
13431,81818174,81788156,81808177,8202
12105,81798175,81728156,81798181,8204
10524,81808174,81758157,81828177,8204
8796,81798175,81768155,81818179,8205
7024,81798173,81758154,81818179,8204
5331,81808174,81748155,81818176,8204
3805,81828174,81758156,81828177,8202
2566,81828173,81758156,81798177,8203
1673,81818172,81758153,81788177,8205
1197,81798173,81748155,81818176,8203
1156,81798173,81758156,81828176,8200
1545,81778174,81768154,81818178,8203
2356,81818172,81738155,81808178,8203
3550,81818175,81738156,81818177,8202
5020,81788172,81728156,81798176,8202
6698,81788173,81738154,81828177,8201
8439,81798175,81748154,81838175,8204
10202,81788173,81718154,81798178,8203
11803,81828175,81738156,81798178,8205
13198,81798172,81758153,81828179,8202
14265,81808173,81748155,81838178,8203
14947,81798173,81748153,81798178,8204
15218,81818171,81778155,81798176,8204
15049,81828174,81748156,81808177,8205
14435,81798175,81768153,81818176,8207
13434,81808175,81758154,81808177,8204
12098,81808174,81748154,81818177,8203
10524,81788174,81758155,81818177,8205
8789,81778174,81748155,81838178,8204
7025,81808173,81748156,81808178,8204
5330,81798173,81728154,81818179,8206
3806,81788172,81768155,81828179,8203
2563,81828174,81738155,81818179,8202
1677,81808172,81768156,81818176,8202
1189,81808173,81748155,81828178,8204
1145,81818169,81748154,81818175,8202
1544,81818173,81738155,81818177,8204
2362,81788175,81748157,81808179,8202
3542,81808175,81748155,81818177,8207
5014,81798173,81728155,81818179,8203
6687,81818175,81748155,81808179,8202
8440,81838176,81758155,81808178,8205
10193,81828174,81738156,81808178,8203
11811,81828172,81758156,81818175,8204
13196,81798174,81738155,81788177,8205
14269,81788174,81728157,81798178,8204
14950,81808174,81748155,81808175,8203
15222,81838175,81718158,81808177,8204
15036,81818173,81758153,81818175,8202
14434,81798173,81758155,81828177,8203
13426,81808175,81728156,81818177,8205
12100,81808171,81748157,81808175,8204
10518,81788173,81748153,81818178,8201
8790,81808174,81728152,81808178,8202
7028,81808173,81748154,81818179,8207
5325,81808177,81738155,81818178,8202
3807,81818173,81738154,81798177,8202
2556,81798172,81748157,81828181,8205
1676,81808175,81758156,81798179,8203
1185,81808172,81748155,81828178,8203
1156,81808173,81758155,81808175,8203
1555,81798175,81748154,81798177,8203
2369,81838174,81748156,81808177,8204
3540,81788173,81708155,81828177,8201
5018,81798176,81748153,81818175,8203
6688,81808171,81738156,81818178,8202
8445,81828175,81768156,81808177,8204
10193,81798173,81748156,81808177,8204
11814,81808173,81748155,81818178,8202
13207,81828176,81768155,81808177,8204
14262,81788177,81758153,81828178,8202
14946,81808172,81768155,81818176,8202
15223,81798172,81748157,81778177,8203
15030,81808174,81748154,81808179,8203
14443,81798175,81778155,81818176,8205
13427,81808175,81768155,81808180,8202
12095,81778175,81748154,81808178,8206
10518,81798173,81738155,81838176,8203
8784,81798174,81738153,81808179,8202
7016,81798172,81768156,81828177,8202
5322,81798172,81738155,81818176,8206
3813,81798171,81768157,81818178,8204
2561,81768171,81748157,81818178,8203
